umur,jenis_kelamin,indikator,L,M,S
0,Laki-Laki,TB/U,1,49.9,0.0379
0,Perempuan,TB/U,1,49.1,0.0379
6,Laki-Laki,TB/U,1,67.6,0.0372
6,Perempuan,TB/U,1,65.7,0.0371
12,Laki-Laki,TB/U,1,75.7,0.0365
12,Perempuan,TB/U,1,74.0,0.0367
18,Laki-Laki,TB/U,1,82.3,0.0361
18,Perempuan,TB/U,1,81.0,0.0363
24,Laki-Laki,TB/U,1,87.1,0.0364
24,Perempuan,TB/U,1,85.7,0.0368
30,Laki-Laki,TB/U,1,92.3,0.036
30,Perempuan,TB/U,1,91.2,0.0362
36,Laki-Laki,TB/U,1,96.1,0.0358
36,Perempuan,TB/U,1,95.1,0.0359
42,Laki-Laki,TB/U,1,100.0,0.0355
42,Perempuan,TB/U,1,99.0,0.0357
48,Laki-Laki,TB/U,1,103.3,0.035
48,Perempuan,TB/U,1,102.7,0.0352
54,Laki-Laki,TB/U,1,107.0,0.0345
54,Perempuan,TB/U,1,106.5,0.0348
60,Laki-Laki,TB/U,1,110.0,0.034
60,Perempuan,TB/U,1,109.0,0.034
0,Laki-Laki,BB/U,-0.3521,3.35,0.146
0,Perempuan,BB/U,-0.3833,3.23,0.142
6,Laki-Laki,BB/U,-0.035,7.9,0.105
6,Perempuan,BB/U,-0.112,7.3,0.101
12,Laki-Laki,BB/U,-0.035,9.6,0.095
12,Perempuan,BB/U,-0.112,8.9,0.092
18,Laki-Laki,BB/U,-0.035,11.0,0.09
18,Perempuan,BB/U,-0.112,10.4,0.088
24,Laki-Laki,BB/U,-0.0353,12.2,0.0903
24,Perempuan,BB/U,-0.1117,11.6,0.0857
30,Laki-Laki,BB/U,-0.035,13.0,0.089
30,Perempuan,BB/U,-0.112,12.5,0.086
36,Laki-Laki,BB/U,-0.035,14.0,0.088
36,Perempuan,BB/U,-0.112,13.3,0.086
42,Laki-Laki,BB/U,-0.035,15.0,0.087
42,Perempuan,BB/U,-0.112,14.0,0.085
48,Laki-Laki,BB/U,-0.035,15.8,0.086
48,Perempuan,BB/U,-0.112,14.8,0.085
54,Laki-Laki,BB/U,-0.035,16.5,0.085
54,Perempuan,BB/U,-0.112,15.5,0.084
60,Laki-Laki,BB/U,-0.035,17.3,0.084
60,Perempuan,BB/U,-0.112,16.0,0.083
0,Laki-Laki,IMT/U,-0.3521,13.3,0.09
0,Perempuan,IMT/U,-0.3833,13.1,0.091
6,Laki-Laki,IMT/U,-0.3521,16.0,0.082
6,Perempuan,IMT/U,-0.3833,15.7,0.082
12,Laki-Laki,IMT/U,-0.3521,16.8,0.081
12,Perempuan,IMT/U,-0.3833,16.5,0.081
18,Laki-Laki,IMT/U,-0.3521,16.9,0.081
18,Perempuan,IMT/U,-0.3833,16.6,0.081
24,Laki-Laki,IMT/U,-0.3521,16.0,0.0801
24,Perempuan,IMT/U,-0.3833,15.8,0.082
30,Laki-Laki,IMT/U,-0.3521,15.5,0.08
30,Perempuan,IMT/U,-0.3833,15.3,0.081
36,Laki-Laki,IMT/U,-0.3521,15.2,0.079
36,Perempuan,IMT/U,-0.3833,15.0,0.08
42,Laki-Laki,IMT/U,-0.3521,15.1,0.079
42,Perempuan,IMT/U,-0.3833,14.9,0.08
48,Laki-Laki,IMT/U,-0.3521,15.0,0.078
48,Perempuan,IMT/U,-0.3833,14.8,0.079
54,Laki-Laki,IMT/U,-0.3521,15.2,0.078
54,Perempuan,IMT/U,-0.3833,15.0,0.079
60,Laki-Laki,IMT/U,-0.3521,16.0,0.078
60,Perempuan,IMT/U,-0.3833,15.7,0.079
65,Laki-Laki,BB/TB,-0.3521,7.4,0.0822
65,Perempuan,BB/TB,-0.3833,7.1,0.0851
75,Laki-Laki,BB/TB,-0.3521,9.4,0.0822
75,Perempuan,BB/TB,-0.3833,9.0,0.0851
85,Laki-Laki,BB/TB,-0.3521,11.2,0.0822
85,Perempuan,BB/TB,-0.3833,10.8,0.0851
95,Laki-Laki,BB/TB,-0.3521,13.4,0.0822
95,Perempuan,BB/TB,-0.3833,12.9,0.0851
105,Laki-Laki,BB/TB,-0.3521,15.7,0.0822
105,Perempuan,BB/TB,-0.3833,15.2,0.0851
115,Laki-Laki,BB/TB,-0.3521,18.5,0.0822
115,Perempuan,BB/TB,-0.3833,17.9,0.0851
